lon,lat,shortdescription,equipmentno
-73.91823200219723,40.7036929996164,"('Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL372', 'EL371', 'EL370')"
-73.91989900100465,40.8680719999973,"('Mezzanine to platform', 'Street to mezzanine')","('EL149', 'EL148')"
-73.92553600006474,40.8605310013879,"('street to uptown', 'Street to downtown platform')","('EL179', 'EL178')"
-73.92565099775477,40.82790499884584,"('Mezzanine to Bronx-bound B/D', 'Mezzanine to Manhattan-bound B/D', 'Mezzanine to Manhattan-bound 4', 'B/D mezzanine to 4 train', 'Street to mezzanine')","('EL135', 'EL134', 'EL133', 'EL132', 'EL131')"
-73.92569199505733,40.8282303274216,"('Mezzanine to Bronx-bound B/D', 'Mezzanine to Manhattan-bound B/D', 'Mezzanine to Manhattan-bound 4', 'B/D mezzanine to 4 train', 'Street to mezzanine')","('EL135', 'EL134', 'EL133', 'EL132', 'EL131')"
-73.92727099960726,40.86549099896891,"('street to uptown', 'Street to downtown platform')","('EL179', 'EL178')"
-73.93072899914027,40.6793639995054,"('Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL346', 'EL345', 'EL344')"
-73.93293256081851,40.668978311078,"('Mezzanine to platforms', 'Street to mezzanine')","('EL323', 'EL322')"
-73.93713823965695,40.7489177198632,"('Mezzanine to Queens-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL430', 'EL429', 'EL428')"
-73.93759400055725,40.80413800058724,"('Mezzanine to uptown platform', 'Mezzanine to downtown platform', 'Street to mezzanine', 'Mezzanine to platforms', 'Street to mezzanine')","('EL144', 'EL143', 'EL142', 'EL126', 'EL125')"
-73.93956099985425,40.8407189999079,"('Mezzanine to downtown A/C', 'Mezzanine to uptown A/C', 'Street to mezzanine')","('EL141', 'EL140', 'EL139')"
-73.93970399761596,40.847391000724,"('Mezzanine to platform', 'Street to mezzanine')","('EL124', 'EL123')"
-73.94013299907257,40.84055599914853,"('Mezzanine to downtown A/C', 'Mezzanine to uptown A/C', 'Street to mezzanine')","('EL141', 'EL140', 'EL139')"
-73.94049699874644,40.7115760006482,"('street to platform', 'street to platform')","('EL786', 'EL785')"
-73.94077000106708,40.814229000339,"('Street to downtown platform', 'Street to uptown platform')","('EL181', 'EL180')"
-73.94137734838365,40.7004044029811,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Queens-bound platform', 'Street to mezzanine')","('EL395', 'EL394', 'EL393')"
